username,id,displayname,followersCount,friendsCount,location
r0h1n,198795374,Rohin Dharmakumar,25715,42,"Bengaluru, India"
rpsinghkhalsa,45795876,RP Singh National Spokesperson BJP,21331,1186,NEW DELHI
BJP4Chapra,912215065192939520,BJP SARAN (Chapra),5043,100,"Chhapra, India"
Avadhutwaghbjp,979795484,Avadhut Wagh अवधूत वाघ,32965,1265,on Mother Earth
priyankagandhi,1094645942735855618,Priyanka Gandhi Vadra,4696509,192,"New Delhi, India"
VijayaRahatkar,2378726604,Vijaya Rahatkar,51419,373,"Delhi, Mumbai, Aurangabad..."
tsrawatbjp,1853680447,Trivendra Singh Rawat,297410,113,उत्तराखंड 
upadhyaysbjp,537465783,Satish Upadhyay,110759,880,"New Delhi, India"
atnanapatilmp,1621623402,A T Nana Patil M P,11391,1238,Jalgaon
rajeevbindal,242203794,Dr. Rajeev Bindal,11947,22,"Nahan, India"
ManojTiwariMP,3314976162,Manoj Tiwari 🇮🇳,1589728,1225,"Delhi, India"
PiyuK,50228660,Priya Kapoor 🇮🇳,22313,2467,New Delhi
MukeshBhakar_,1597719445,Mukesh Bhakar,194432,188,"Ladnun, Nagaur, Rajasthan"
NSaina,1196254680,Saina Nehwal,8550989,614,India
drashokuike_mla,760886225997791232,Dr.Ashok Uike,6558,351,"Ralegaon, India"
PMuralidharRao,19438384,P Muralidhar Rao,222492,201,
BJP4Himachal,775379648,BJP Himachal Pradesh,144661,276,Shimla
DrKathiria,480506865,Dr.Vallabh Kathiria,10521,741,Rajkot
mpharishchandra,875266297365266433,Harishchandra Chavan,1864,259,"Dindori, India Mumbai Delhi"
Madhavbhandari_,779170926332108800,Madhav Bhandari,17070,206,"Maharashtra, India"
ramkripalmp,3801199098,Ram Kripal Yadav,155113,896,New Delhi
SunilAmbekarM,131494281,Sunil Ambekar,68483,58,"Hyderabad, India"
TIRATHSRAWAT,791889915025829888,Tirath Singh Rawat,111534,182,"Dehradun, India"
BajpaiDeepak,114955836,Deepak Bajpai,23582,813,"Delhi, India"
narendramodi,18839785,Narendra Modi,76675160,2431,India
SureshRanaBJP,804965481362780160,Suresh Rana,131494,290,"Lucknow , Thana Bhawan"
aaprajeshrishi,3229635290,Rajesh Rishi MLA Janakpuri,11151,269,"New Delhi, India"
VineetTNIE,135590376,Vineet Upadhyay,1481,2479,"Dehradun, India"
sureshkpujari,625536118,Suresh Pujari,37793,452,"Sambalpur, India"
Janardan_BJP,4034543546,Janardan Mishra,32146,124,"Rewa, India"
ajrajbjp,3191800021,Avinash Joshi,39326,394,"Jaipur, India"
AAPDelhi,2299699574,Aam Aadmi Party Delhi,245136,224,Delhi
PrakashPantBjp,578803665,Chandra Prakash Pant,17741,1044,"Uttarakhand, India"
RavneetBittu,288623057,Ravneet Singh Bittu,41367,111,New Delhi
AAPPunjab,3320822658,AAP Punjab,176003,106,
DilipGhoshBJP,4743651972,Dilip Ghosh,359465,118,"Paschim Banga, India"
BalaBhegade,2873236182,Bala Bhegade- बाळा भेगडे,3158,365,"Maval, India Mumbai"
KPGBJP,2941721204,Krishan Pal Gurjar,134758,583,Faridabad
BJP4Nagaland,753128018764242946,BJP Nagaland,61245,40,"Nagaland, India"
AmitThakerBJP,98659965,Amit Thaker,213953,846,ahmedabad
mpvadodara,2890923547,Ranjan Bhatt (MP),45194,172,"Gujarat, India"
NirmalSinghBJP,1543482600,Dr Nirmal Singh,24307,595,"Jammu, Jammu And Kashmir"
BjpBiplab,725003596811620353,Biplab Kumar Deb,225194,215,Tripura
avinashpandeinc,1240972140,Avinash Pande,109537,323,"New Delhi, India"
BSYBJP,54936590,B.S. Yediyurappa,1059909,155,"Bengaluru, India"
kgahlot,138654777,Kailash Gahlot,69717,230,"New Delhi, Delhi"
IshwarParmarMLA,729749154356826112,𝐈𝐬𝐡𝐰𝐚𝐫 𝐏𝐚𝐫𝐦𝐚𝐫,27465,858,"Bardoli, India"
TheArvindPandey,859287738922577921,Arvind Pandey,21323,331,Gadarpur/Dehradun Uttarakhand
AlamTauquirJNU,68651940,Tauquir Alam तौकीर आलम,20842,2202,Katihar Bihar & Delhi
JarnailSinghAAP,183516653,Jarnail Singh,74968,290,"Tilak Nagar, New Delhi"
aniljaindr,250677217,Dr. Anil Jain,126549,781,"New Delhi,India"
Tejasvi_Surya,390677061,Tejasvi Surya,1111444,1203,"Bengaluru, India"
shivprakashbjp,3042900133,Shivprakash,560354,640,"6A, Deen Dayal Marg, New Delhi"
BJP4Goa,758216347486720000,BJP Goa,69934,52,
DrHeena_Gavit,2894041754,Dr. Heena Gavit,13514,224,"Nandurbar, India"
Medha_kulkarni,2689206181,Dr. Medha Kulkarni,37489,94,"Pune, India"
bjpprakashmehta,2411128315,Prakash Mehta,13904,176,"Mumbai, India"
RajivPratapRudy,166665752,Rajiv Pratap Rudy,695175,828,"Delhi, Patna"
Pankajbhaidesai,481336457,Pankajkumar Desai,72761,341,"Nadiad, Gujarat (India)"
Ch_AnilKumarINC,1522131686,Anil Chaudhary,52310,635,"Patparganj, Delhi"
rajnipatel_mla,2892882140,Rajni Patel,37694,246,Gandhinagar
sadafjafar,78940377,Sadaf Jafar,38363,7651,"Lucknow, India"
raghav_chadha,98815583,Raghav Chadha,646344,640,"New Delhi, India"
IndrajGurjarinc,997120765169356800,Indraj Gurjar,83965,191,"Viratnagar, Jaipur"
SanjayDhotreMP,4852404527,Sanjay Dhotre,34587,503,"New Delhi, Delhi"
RahulKaswanMP,2549576851,Rahul Kaswan,53733,486,New delhi
OPSharmaBJP,1948925953,Om Prakash Sharma,6886,309,"New Delhi, India"
jigar_inamdar,85101713,Dr Jigar Inamdar,15282,1598,"Vododara, India"
ValmikiNaik,4809020384,Valmiki Naik 🇮🇳,4604,686,"Goa, India"
BJP4DamanDiu,741180647624974336,BJP Daman Diu,42470,86,
ahir_hansraj,1616964661,Hansraj Ahir,77720,595,india
SSAhluwaliaMP,220625887,SS Ahluwalia,39469,1322,India
TapirGao,225649833,Tapir Gao,10404,309,Arunachal Pradesh
sambitswaraj,1368737382,Sambit Patra,5941639,601,Delhi
abhilashBJPmp,743130288151089153,Dr. Abhilash Pandey,108733,370," Madhya Pradesh, India"
mohitbharatiya_,328561692,Mohit Kamboj Bharatiya - मोहित कंबोज भारतीय,91881,1470,Amritsar - Varanasi - Mumbai 
OmMathur_bjp,774949777951690752,Om Prakash (Om ji ) Mathur,466950,102,India
vijayrupanibjp,627355202,Vijay Rupani,3102390,248,Gandhinagar 
DrRutvij,1110805057,Dr. Rutvij Patel,410788,324,Karnavati
LalluSinghBJP,2537171173,Lallu Singh,44665,476,"अयोध्या, भारत"
BJP4Telangana,758217523506667520,BJP Telangana,190789,79,
rajengohainbjp,768633485175119872,Rajen Gohain,11502,110,"New Delhi, India"
